label,text
identity-based,صغير لندن الوحيد اللي لندن ماخذ بطولات اوروبيه نعرف مين الصغير
identity-based,ياحبيبي شوف جمهور الاهلي دقيقه يهز الملعب هز مو جمهورك التعبان قلك دقيقه تشجيع والباقي وش يسوون
identity-based,الكوز كوز عنوانه النفاق والتدليس البلال يبارك قرارات المجرم البرهان لانها تصب مصلحه العسكر تنظيم الاسلامويين الاسود
racisme,راه ممكن يقولو انه يصنع خنشله التاجري مروكي يهودي سرق اسرار صناعه العكر الفاسي نقلها للموغريب عادي عندهمش المشكل بنادم عندهم مضبع
identity-based,حتي النصراويه يقولون يلعن ابو الفقر اللي تعرفونه وغيره المقاطع بسك ياحسين وغيره كله حسد
racisme,يوم الديربي ارضي الا بجلد صغير العاصمه البرنابيو اهتم
identity-based,ايدي كوهين الصهيوني يطالب حكومه السلطنه ان يقدم الشيخ الخليلي الاعتذار للكيان الصهيوني لانه الشيخ حفظه الله ابدي اعتراضه علي التطبيع وقال قوله الحق الشعب العماني يرفض طلبات هيمنه الكيان الصهيوني والشعب العماني يعلن تاييده ونصرته للشيخ الخليلي وللاسلام
racisme,التطبيع شان سيادي لاحد الحق التدخل القرار علي فكره الفلسطينين اكبر مطبعين وبناءين مستعمرات واكبر مساهمين الاقتصاد الاسراءيلي ويطبلون لتركيا المطبعه وقطر المطبعه بختصار شعب منافق
identity-based,الناس دي اصلا كارهين لمصر والسعوديه دول تبع جماعه الاخوان وهما اللي يحبو يعمل اي ازمه الدولتين وبعدين ياعم والله اعرف الجزرتين دول اتكلمو عليها ولما عرفت القصه عادي حقكم عشان انا واثق المسءلين انهم مش هيفرطو شبر ارضنا واثق المملكه
identity-based,قالوها الدوري السعودي اقوي اسيا وضمينا البطولتين سنه وحده تجحفلوا
religion_hate,يعلمون اليقين ودهم يرجعون عبيد مستعمرين يصرون السعوديه كلهم بالذات سدنه البقره
identity-based,صحيح اباده حوثي واهلاكه علي يد جوارح سلمان وكواسر محمد بن زايد
identity-based,القياده سبق ان هددت ان اي تصعيد اقتصادي سيقلب الطاوله والمرتزقه رفعو الجمارك الي اجبر العدو الء رفع القيود ميناء الحديده فورا انفجار الوضع المرتبات الثروه النفطيه
identity-based,ان مطرب الراب نصراوي سيقول فقر فكر اعلامكم هه مايتربص حمد الله اثبت للكل تربصكم وافتراءكم وفجركم بالخصومه وبالنهايه يظهر الله الحق
racisme,قمه التخلف والرجعيه المصيبه انه يتم نشر الفيديوهات المواقع العنصريه الاوروبيه والامريكيه لاطلاق احكام علي قاطني منطقه الشرق الاوسط بانهم متخلفين وعنيفين علي الرغم ان هءلاء مجرد اقليه جاهله ومغسوله ادمغتهم
racisme,حكام ايران عملاء امريكا عميله وتنفذ خارطه طريق الثوره الخمينيه
racisme,ايران اشترت قبايل الشمال الزيدي وطوق صنعاء شهري اليمني زمن ابرهه الحبشي وباذن الفارسي وهم مطايا للعجم والفرس والاحباش
religion_hate,وسط الاحداث المتسارعه عالميا غض طرف متعمد علي جراءم اليهود وحمير اليهود الرافضه ماتفهمون طول المفاوضات بسرعه عليكم الانتهاء البرنامج النووي شكرا ياعم سام اقتربنا الانتهاء التخصيب يقول اخر القنبله جاهزه خاءف وماني خاءف اصمت لااحد يسمعنا
racisme,الله وامريكا تكفلوا بتلك المهمه الجليله تفكيك كيان المسخ الروسي اما يسعني الا الاستمتاع بذلك المشهد انا متاكد انك ان اعطاك الله عمر ستعيشه لحظه بلحظه
identity-based,للاسف مدريد بيدعس اتليتكو فينيسيوس بيسجل بيرقص بذكرك
identity-based,صحيح بالاساس شكل واسس العصابه الصهيونيه
identity-based,اللهم امين اجعلها شهاده وصبر اهله ودمر الصهاينه واعوانهم
racisme,الجراءم الجناءيه تقصد تجي بالميه جراءم الياقات البيض اللي يقوم بيها اليهود والبيض ناحيه اقتصاديه واجتماعيه كالعاده عربي مستوي تفكيرك الاسف
racisme,يرضينا يرضي ربه المجوس قتلو العرب والمسلمين اضعاف ماقتل اليهود ماسمعنا ادانه اذا كنت مسلم وتشوف الفضاعات المروعه الي ترتكبها مليشيات النظام الايراني الخبيث شعب العراق وسوريا وكل مكان وتسكت مصيبه الصهاينه قتلو شعب بينما الصفويين ابادو شعوب ودول وتقول صراعات
racisme,ايش الذل يتبرك باحذيه الايرانيين الله يرحمك صدام موجود شفنا طقوس الشيعه
identity-based,قالك النصر بيلعب اسيا نادي وضيع هه
racisme,الاداره الذاتيه الغرض تسليم حضرموت وثرواتها لبقايا الاشتراكي عيال الضاحيه الجنوبيه اكثر يتحدث الاداره الذاتيه اللحجي احمد بريك يحلم ويحرض ليل نهار علي حضرموت اللهم لاترفع رايه
identity-based,هيءه تدمير الشام برعايه مجهول النسب الجولاني الوجه الثاني لداعش يعني وجهان لصرمايه واحده
religion_hate,شيعي يدفع الخمس شيعه مسلم
racisme,انت تتكلم الدعاره المغرب اصبح مسرح للزب الخليجي والصهيوني بيوت المغرب اصبحت تستقبل الزنات شده الفقر حتي ملككم عطاي المغاربه عطايين اصبحتم مهزله العالم احشم انت مغربي
racisme,يقولون حسابات خارجيه الي تقذف السعوديات الدياثه بمسماها الجديد اقذف واعهر بحجه الدين لانهم ماعجبوني فتحوا الباب للي يسوي ومايسوي عشان يتكلم علينا
racisme,تاخذهم خيالهم واسع والقات والعماله لايران عاميه عيونهم وبصيرتهم
identity-based,اختراعات وانتصارات وهميه وباانهايه انهيار اقتصادي وفساد مستشري ظهرت نتاءجه الزلازال وصداقه متينه الصهاينه اردوغان الي جهنم
racisme,تم التعامل معاهم سيبداو بالنباح وان الافارقه عنصريين
identity-based,لان الصهيوني اداره الشركه
religion_hate,واحناء تسب معاويه رضي الله عنه عندنا ياشيعي يابن المتعه ذبحناك مانذبح العنز
religion_hate,الشيعه ماتركو شي مافعلوه للمحافظه علي الخمس والمتعه وعباده الاظرحه اجلك الله وتكريه مريدينهم دين الله وسنه محمد صلي الله وسلم وتمثيلهم بلطفل لعلمهم ان العواطف تسبق التفكر فيستخدمونها مكان ومحفل الحمدالله كثير منهم هداهم الله وتركو دين المجوس
identity-based,صهيوني غبي لابد نعلمك انك فاهم وعارف ان الي ذكرتهم ماهم جيوش عربيه يمثلون العرب وانهم كلهم حلفاءكم تمسون وتصبحون بفراش معهم الجيوش العربيه عندما تقول ستنفذ فااحديث الجيوش كاحديث المليشياتفهمت ياابن الكلب احط النعله بحلقك
racisme,فرنسا والعسكر صنعوا شعب مهبول
racisme,ايش افضل الايراني ام سيدك الجنوبي اح
identity-based,باذن الله فوز الهنود دايم ندعسهم
identity-based,تقوم حماس بسرقه اموال شركه الكهرباء غزه وتجني ارباح بيع الوقود علي حساب الغزاويون حماس دين مرتزقه شيعه حقيقه حماس لمن يعرف كذبهم ونفاقهم
racisme,جدهم الخميني كلهم اصحاب تعز واب
racisme,علي مر التاريخ الجاءزاءريين مطيه المستعمرين ادخلوا العثمانيين والفرنسيين والان ايران الي المنطقه يحبون يستعبدهم الله
identity-based,سفله حزب الاوساخ الخونه سلموه الشمال مقاومه وزودوه بالاسلحه والعتاد صرف التحالف اينما كلاب الاخوان المفسدين وجدت الخيانه والغدر
identity-based,مافي احد ماطقطق عليهم حتي الاتحاد الاسيوي طقطق عليهم
racisme,ماهوشغلك انتم تجمعونها لاصلك الايرانيين ومعاويه سيدك وسيد اسيادك
racisme,اخر يتكلم الجنوب وقضيته العادله النازحين والا جين البراغله والدحابشه يدعسونهم الزيود علي مدي تاريخهم وغلاب بلده محتله ومطرود
identity-based,هاذي الاشكال ماورها وجع الراس يبي يشتهر علي حسابنا فقراوي ماعنده بطولات مثلنا بطوله والهلال يطوله
racisme,انظمه سلمت العراق للايراني مكنت حافظ الاسد علي عقود دعمت المليشيات الايرانيه دعمت الثورات المضاده هاي ماراح تقدم للسوريين العون
religion_hate,حمار كبير الشيعي ومرواغ وكذاب
identity-based,لعنه الله علي ال سلول الصهاينه
identity-based,الانفصاليين الانتهازيين المتاجرين بالاوطان المليشيات تتناغم مثيلاتها الحوثيه اليمن والجميع يءن وطات وصلابه رءيس المجلس الرءاسي فهيهات ان تدوم حياه الاستغلال مافي الا تنخسو
identity-based,والنادي اللي تنتمي يسمي الفقراوي وانت الفقير
identity-based,طيب ايش نسوي فقير وساخر بيتيسي وشبيحه رونالدو ومشجعين الليفر والسيتي وارسنال واللي يقولون الدوري الاسباني اقوي الانجليزي
identity-based,اسمعوها حقاءق احداث خان بلا مزايده كذابه باسم الوطنيه نعرفكم قردستانيه يتبع
religion_hate,عملاء اليهود عليكم لعنه الله مرتديين
identity-based,اسعار اذناب ومطاي الشيطان طبعا سعر كلاب للفرد طبعا سعر زنابيل هذ كانت تعطي للخونه حاليا لايري سو الجوع والاهانه فش مصاري
racisme,نظامك الجزاءري اكبر نظام متصهين ويخدم مصالح الصهاينه وفرنسا المنطقه
racisme,يعني لازم نلطمكم الحوثي عشان تحترمون نفسكم بالجنوب صحيح يوم قال الزيدي عنكم صراصير
identity-based,والله الظلام فكرك العفن اخونجي خليتوا فتنه الارض الا ودعمتوها وهذا ديدنكم لاجديد خططكم ولله الحمد انكشفت امام الملء وقذارتكم انكشفت لذلك ماعاد عندك الا تنبح حدك
identity-based,مش قالوا معبد الشمس جيش الاخوان
racisme,ابناء ام حازم ام هنادي یعتبرون نفسهم ایراني اکثر الفرس الفرس نفسهم یهربون البلد بسبب الفقر البطاله بینما انباء المت عه العراق یدافعون خرامنءي بحماسه اکثر والله ماشفت شیعیا فارسیا یدافع بلده او خامنءي یدافعون عنه الشیعه العرب
identity-based,ورب الكعبه انهم فشخوكم
identity-based,يكمن دور الصهاينه واحذيتهم العربيه المطبعه
racisme,الجزاءر مازالت عنقها بيعه العثماني التركي اسطنبول اثناء دخول فرنسا رفض بيعتهم بادء الامر لسلطان المغرب رغم قبولها يعني انه استقلاليه سياده التبعيه لتركيا العثمانيه مره اخري تدلس امامي
racisme,هاكذ يريدك انا تتعامل معه لنه متعود منذو فجر التاريخ علي الاحتلال اول احتلال وقت دوله بابل وجاء نبوخذ نصر وحرره واليوم ساعدو الفرس اسقاط العراق هذ البشر خاءن يخونون ويسلمو بعضهم لجيش اسراءلي متبي يخونك لايوجد مله مذهب
identity-based,يلا والله يارب مجيش اجيبك عالقهوه وانت ماسك رقبه اهلاوي بصان عنده سنه
racisme,الغرب مسعورين اعوذ الله
identity-based,رغم اني اتحادي اشوفك وضيع يافقراوي
racisme,تنطر الي ال المتاعيس قرار الدول يكون صرمايه الدب الروسي اذا تناطح الكبار سحق اقدامهم الصغار
identity-based,مدلس الهلال عرف المشاركات الاسيويه وش دخل النصر مشاركات سيد قارتكم لتشجيع الانديه تقابله والشواهد كثيره وللعم باو سليمان ان اكثر عقدين الزمان انشا جيلين لمعادات مشاركاته
racisme,مخلفات غزوات صليبيه تقولو مصري مريض بالفتنه
identity-based,اي شخص يهاجم دوله عربيه اعلم انه اما يريد شهره او مرتزقه تيك توك او هارب امريكا واوروبا او اخونجي مريض او علماني فساكونيا وفي الحالات يمثل نفسه لايمثل مصر او اوبلاد الواق واق وليس عندنا الا التفافه
identity-based,ربي يزيدكم ذل علي ذل احزاب العار
identity-based,فالقصد الشعوب عندهم ضيقوا الفكر والخونه والمجانين وضعاف النفوس هاهو عندنا سعوديون هربوا لدول خارجيه ويشتمون فينا وفي حكامنا ليل نهار صاروا يتمنون سقوطنا جميعا تلتفتوا لنهيق الغربان
racisme,اعلان وزير الخارجيه الامريكي العار علي مبدا الداعيه الي واعترف بدوله وحرب اهليه وحرب الصليبيه علي فرض
racisme,الحداءق المخصصه للسود كانت تختلف حداءق الحيوانات البشريه والتي يعرض الاسيويين اللاتينيين اعتبروا حيوانات اقرب للبشر يعرض هءلاء الافارقه كانت حداءق حيوان جراءم الاحتلال الفرنسي عبدالناصر البصري
racisme,وجهك التاريخ لانكم مءيدي سيدكم ماكرون انه امه جزاءريه اصلا والله تكشفون انفسكم بانفسكم
racisme,واضح لهجته المجنسين تحصله اردني فلسطيني لهجه وسحنت اهل البحرين معروفه وطيبين مجنس واضح
racisme,ابيدوها يارجال اليمن دمرت اقتصاد البلد ومعها الحوثه الانجاس
identity-based,التحليق التطبيع الكيان الصهيوني عامم احتلال الاراضي الفلسطينيه حتي اللحظه حمايه امريكا لايزالون مستمرون بكل بساطه الهدم البيوت فلسطينيين والقتل والمطارده والطرد بلادهم وجه حق رغم انهم يرتكبوا اي جراءم حقهم
religion_hate,خرافات شيعيه يحفظها الشيعي الحسينيه
identity-based,الفقراويه قامطين العافيه
racisme,نهايتكم قريبه بانهيار راعيكم ايران وجراءمكم ضد الابرياء سوريا واغتيالاتكم للبنانين قريبا ستدفعون ثمنها خيانه الوطن ثمن
racisme,اذ روسيا تبي تهجد امريكا الموضوع سهل دعم مجموعات بسلحه قويه لمهاجمه قواعد امريكيه الروس زلايب
religion_hate,مذهب المتخاذلين المبتدعين منطق العبيد انهازم الحشويه المجسمه الخارجه القران والسنه المحاربه للاسلام وقيمه
religion_hate,دين مجوسي اي صله بالاسلام والدليل علي كلامي اتحدي شيعي يسب يزدجرد
religion_hate,نباح اذناب مجوس وقدرهم نعال بارجل ابناء نطف زادهم انحطاط تصلوا لقدر معاويه محال اطاح رقاب الخوارج بالسياط ستعود ارض العراق لاهلها كمال ستلحقون باهلكم وعد رباط باعناق احرار النهرين ابناء رجال
identity-based,هه النصراوي جاهلهم الي بروفيسروهم حتي شيخهم خبل
identity-based,اسبانيول اهون اكبر منبطح اشبيليه
racisme,الولايات المتحده بريطانيا باحتلالها الشنيع وكل ممارسات القتل والنهب رجعت العراق قرون الي الوراء تسيطر علي اقوي اقتصاد العالم يجب ان نكون بمستوي المملكه العربيه السعوديه المجتمع الدولي يعرف حل بالعراق بسبب كذبه اسلحه الدمار الشامل
identity-based,جماعه الشايب جيش الامام ولواء اليوم الموعود وسرايا السلام تشكلت جنتوا علاسه للقوات الصديقه اعور
identity-based,شكل الشخص فارسي او صه يوني مستتر اسم العراق
racisme,الايرانيه الداعشيه تحكم وتتحكم بالعراق لعد منو باع العراق وميناء الفاو وتدميركم للعراق اكبر انجاز
identity-based,والله ياخ الثمانينات والتسعينات السودانيين اول شجع نادي الوحده استاد فاضي وفريق حصاله سنه ينافس بالهبوط الله يخلي الشيخ سعيد بن زايد بني فريق قوي والله اتدمر الا بسبب انتقاداتكم وانتقاداتكم الغبيه ظهر فريق الوحده وفاز بالدوري اتدهورت الكره الاماراتيه
identity-based,الي المنافقين مقاومن المنح والدولارات وبصيمه الشاباك نبي هدوء عملاء الاحتلال الاسراءيلي حماسراءيل الصهيوحمساويه
identity-based,تقلق اذا ارسلو قوات صهيونيه فتحاويه نسحقهم
identity-based,فرحان علي خيبتك دا الاهلاويه بتضحكو عليكم خايب الحرامي بتاعهم بيدافعو عنه وانتو فرحانينمترجعوش تعيطوش تلقو الزمالك مستباح والخطيب واعونه بيسرحو ويمرحو النادي
racisme,مقطع متداول لامريكي يشتم فتاه اسيويه بالفاظ عنصريه ويصفها بالقرده غادري بلادي ايتها القرده
identity-based,النصراويين يصيحون ان الهلال مدلل الحكام الله اعلم المدلل
racisme,يكفي ان يكون يقف وجه فتن ال سلول خيانتهم ناقص شارب بول البعير يعطي مواعظ
identity-based,نفسي اسيادكم الجهله يجي يحل محل الرءيس ونشوف يعمل ايه بقدراته المعدومه لمصر والمصريين والله خلال شهر يدخل الشعب المصري ثاءرا القصر بالعصيان ويجروا وراه يخلعوه البدله والكرافته والقميص والبنطلون لغايه يوصل ميدان التحرير عريان ملط ويقول حقي برقبتي
racisme,دوله ولها رجالها وين رجالكم الله ياخذ هالعينات السعوديه خلفتكم ونستكم قال انتو مسءوليين عننا السعوديه مسءوله دولتها وعن يحطها راسها مش مسءوله عيناتك بعدين روح فرش اسنانك زين بعدين تعال حمل غيرگ المسءوليه
religion_hate,ام السيغه والمتعه الي قتلها جماعتكم الميلشيات الي نفسهم فجرو قبور الاءمه
identity-based,ضحايا كيان الوهم والفشل الازلي مجرد ان ينتمي لتشجيع الكيان الفاشل تلتزم بامربن اساس الشعار مبادء دايخه كره الهلال وكل يذكر الهلال بخير يمنع ذكرو او الاعتراف باي انجاز للهلال عدم التفكير او التساءل اي هبد كلام يطلع الاداره كنت مخضرم او خبير بالرياضه
religion_hate,اعداء ال البيت يقولون ان فاطمه الزهراء رضي الله عنها كانت راضيه بزواجها علي رضي الله عنه لانه تزوجها بالمهر الخسيس يقولون ان فاطمه همت بضرب علي عندما باع حاءطا واعطي ثمنه لفقير فاخذت فاطمه بثوب علي وهمت بضربه سقطت عصمتهما
identity-based,باختصار طز الطواقي طز رصيف جده
religion_hate,كفر مبين وزندقه رافضيه وحقد علماني علي الاسلام وتمهيد لضرب الاسلام علي مراحل يسمي استخبارات اهل الكفر الغرب العدو الاسلامي ورموزه فان الدارسات الادبيه والتاريخيه والفلسفيه بثتها منظمات الاستخبارات الغربيه للتغريب وكرستها الدوله المصريه القوميه الديمقراطيه
racisme,الثور اللي مقطعه قلايده انت المفروض تغرد العرق بحكم الكويت محافظه عراقيه الاحتلال الفهد الله يغفرله قرر عوده الكويت السعوديه فتحوا بيوتهم لاهلهم الكويت هالكلام كذب حكام الكويت معروف علي المءسس تعقب الفضل اولا واخيرا لله سبحانه لقوه الاسره
religion_hate,الله العمري اكاد اجزم انك انت الفارسي الحوثي المطيه
racisme,جماعه زيلنسكي ينكلون بشعبهم اجل الحقهم بالجيش حقيقه مناظر مخزيه النازيون الجدد
identity-based,وتم اقصاء الجنوبيين ومعاملتهم كمواطنين درجه خامسه وانتشر الشماليون واستولوا علي الاراضي والثروات وتقاسمتها فءه شماليه حاكمه متحالفه بعضها الشمال وهما الحزبان المسءولان الماسي حدثت وتحدث اليمن عموما حزب المءتمر الشعبي العام حزب التجمع اليمني للاصلاح
racisme,يجب علي الاكرانيين التحرك لمحاكمه زللينسكي وضع اكرانيا جسرا للناتو ووضعها علي طبق اكرانيا الي الزوال
racisme,والله انتم اتباع الجيش الامركي ماتدخلو الغرب وايران وامريكا واسراءيل والمنظمات الارهابيه لددمير العرب ويحرشون بينانا
racisme,الغلط البدايه سمحو للشماليين الهاربين بلادهم يرجعو الجنوب وعاده عطوهم الحكم وهم وظيفتهم فقط يسرقو الثروات ويجوعو الشعب ويعطو الحوثي الخمس لانه منهم وفيهم اهم شي عندهم الحنوب مايروح البقره الحلوب لجميع الشماليين وهم متفقين علينا حوثي او شرعيه
identity-based,ياحبيبي انطق قول انت مرتضاوي زمالكاوي انت متهم انك متزملك
racisme,عندما شاه ايران اميرا للمءمنيين فيصل بن سعود يمشي اليه حافيا وكان علماء الوهابيه يبايعونه علي الاماره والخلافه فهم يطبقون السنه والشاه كبير المءمنيين ولايعرف الرفض المجوس فمادام وربنا الاعلي واشنطن راضيا فرضانا رضاه وحبنا حب ربناالاعلي واشنطن
religion_hate,يقول المفسرجي التنويري بان المساجد الصلاه وتحفيظ كتاب الله يخرج الارهابيين
religion_hate,النغل يعتبر مجاهد عندهم باذن الله بينتصر الاسلام علي اهل المتعه الباطل
racisme,تفرقوا امام اسراءيل توحدوا امام الامارات قبحهم الله اوغاد
identity-based,باع زيلينيسكي عميل الغرب الصهيوني شعب اوكرانيا بثمن بخس دراهم معدوده حسابه الشخصي
racisme,بسبب عاءله بن سعود المجرمه علي مر السنين انهم سمحوا للشعب بدخول العسكريه لوجدوا يحمي البلد الله سبحانه وتعالي ولكنهم خونوا الشعب فاصبح هب ودب يلطش البلد ترامب والسيسي وغيرهم الان ليحميها بن سعود وابناءهم ان كانوا رجالا
racisme,بريطانيا تستطيع تصحيح الخطا لاجل تفتك اللاجء الاسراءيلي القذر موطنها
racisme,حتي يكذب عليكم احد دوله محتله تم تغيير نظامها السكاني والعقاءدي والامني والعسكري دوله محتله بالمليشيات الايرانيه تخرج الطاعه الامريكيه فالتحالف العسكري الامريكي الايراني اقوي اكاذيب الملالي واعلام العار الغربي حول النووي الفساد دين العراق اليوم
identity-based,اقول يلا برا قدوتو الفراوله ومطلعكم برا وذال فريقك
identity-based,استقاله اعضاء مجل اداره عايز افهم ده نط المركب واسقاط الزمالك ودخوله دوامه ام تهديد الدوله واتحاد الخطيب العاهر الداعر اللي امرك لعمل الفوضي
racisme,اني متاكد ان دمك وعقلك وقلبك وكتابتك مسخره لخدمه الحوثي بطريقه مباشره او مباشره وابشرك ان السعوديين لديهم المعلومات صدر السعوديه كبير تستغلي وتتمادي النيل حلفاء السعوديه واستخدامك سياسه ناشطات الحوثي السريه مفضوح وموثق للعلم
religion_hate,نواصب شلونكم
religion_hate,متي يفيق احفاد نرجس الرافضه وذيولهم الدين الحقيق احفاد معاويه وعمر وعثمان رضي الله عنهم
racisme,المانيا عباره سوسه بالاخير الروس يضربوها بالنوي
identity-based,اطاحه القيادي الاخواني جاءت يوم تصريحات الرءيس التونسي اكد القضاء علي الخلايا السرطانيه داخل الدوله والتي تهدف الي ضرب الوطن والتنكيل بالمواطنين بالاشعه او بالكيماوي
religion_hate,انتم صهاينه ظلمه معتدين مجرمين محتلين سيعاديكم حر كنتم مسلمين فلن نقبل الظالم القاتل المعتدي المحتل فما بالك وانتم مذكورين كتاب الله باخس الاوصاف لهذا نقبلكم فعلتم وطبعتم الحقيقه الخالده انكم ملعونين كتاب مطهر مقدس نقراه ونحفظه ونتلوه الي يوم القيامه
identity-based,اللي يقول بطوله ضعيفهطيب ناديك ماحققها ليش اذن الضعيفه ناديك الفاشل فاشل
racisme,بالله تقنع الحوثي بشيء خله هه كويس علشان لمن نقلعه نسير مجنزرين خشوم اولاد الفارسيات
identity-based,النصراوي يهايط الوحده وضمك ويجي الاتحاد يجلده
identity-based,يبدو ان الامر يحتاج الي علي ناصر محمد اخر ينظف عدن بقايا سرطان حثاله النظام الماركسي الخبيث
religion_hate,تكلم بادب وانتوا اليهود السبعينات نايمين معاكم بينكم عيش وملح احترم نفسك تحترم
religion_hate,يبدوا الامر انه توجد روايه غاءبه اخري حقيقه مقتل الحسين الروايه الخرافيه المتداوله الان لعن الله الرافضه اشد كذبهم تحريفهم للحقاءق
identity-based,اخونجي حقير متلفف ثوب السعودي الاصيللقد اكتسح كذبك الساحه وفجاجه نفاقك يعلم ابليسرويبضتك اثبتها تخفيك ثوب محسودك ونباحك تفقه وتصدرك للتفسيرات شت المجالات اكثر اخونجي يطقطق علي وكل شوفك تنابح يزيد ضحكي علي الاغبياء يكعون للمساس باسيادك
racisme,القزويني ناصب علي سذج العراق حتي علي سذج الخليج ناصب لاحظ العمله الكويتيه والخليجيه
religion_hate,معلومه منذو فجر التاريخ الشيعه احترامي ليسو اهل حكم وسياسه بلا اهل فوضه وفتن السنه اهل الحكم والتنميه والحافظ علي دين الله مجوسي ستهزم احفاد خالد بن الوليد والقعقاع وعمر سحقو ممكله كسره تقوم قاءمه خاليا وضع السقوط الكسرويه الجداد سقوط المغولي
racisme,افضل حل اقامه دوله المثلث لان الشماليين الحضارم الشبوانيين والمهريين بيقدروا يتعايشوا اصحاب المثلث امر مستحيل ففصلهم دوله يتقاتلوا بينهم علي السلطه افضل حل
religion_hate,عايش الشيعه العرب دور المنقذ والمحرر وهم حطب جهنم ووقود اجل اسراءيل الكبري اليهود سادات الخداع التاريخ ويشهد بمكرهم وخداعهم حتي القران انظر الي القدس وفلسطين عوده الخميني فرنسا الي اليوم وقت تغيير المهداويه الانتظار الي تهيءه المكان والزمان لخروج المهدي
racisme,حانت ساعه الصفر لـ موعد اقتلاع جرثومه الهضبه الزيديه الخبيثه العفنه الجنوب العربي
racisme,يمني حمار جماعتك يخرب بيت الحشيش
racisme,انما الحوثي مجرد اداه ادوات السعوديه التدميريه اليمن النظام السعودي يتوهم ان الاسلام السني هوا الخطر الحيقيق سيزيل ملكه وسلطانه
identity-based,الفشل الازمه الاقتصاديه العالم الي الهاويه بالتحديد عقب ظهور عصابه محمد مرسي محمد مرسي عصابتهامتداد لعصابه حسني مبارك العصابه محمد مرسي حسام خير الله كلاب المخابرات المصريه الاعيبهم المكشوفه الشيوعيين داعش داعش الوجه الاخر للبعث الشيوعي
racisme,لهجته عراقيه المتجنسين اليماني والسوري اللي اصبحت البحرين تعجب
racisme,طيب هدي بالك شوي وارجع وري التاريخ وشوف مصر سنه كانت تتكلم عربي سكانها عرب يحكمها بالوقت ثيودوروس نيكتاس كيرس الخ مهو الي صلح مصر وفتحها خلايجه عازيين نفتحكم تاني
identity-based,قراءاتي لتاريخ الحركه الوطنيه الفلسطينيه ونضال الشعب الفلسطيني ان وطات اقدام المستعمر البريطاني الصهيوني ارض فلسطين المقدسه اكثر مءه عام اجد خونه للقضيه يضاهون خيانه قياده حركه فتح الحاليه ياسر عرفات وحتي اصغر مرتزق
racisme,ابو يمن اللي بعت شرفك للمجوس تستشهد بالقران واتباعك المجوس يقولون كتبهم انه محرف اليس عقل تفكر خزن قات يمكن يرجع عقلك ياباءع عروبتك
identity-based,تاريخ النهب لبيت حميد الدين اباحوا صنعاء عام ان فشلت الثوره انذاك تابعوا المقطع
racisme,الامريكان المزلمز شغالين وصايه علي السعوديه
religion_hate,التيار الصدري امثاله خناجر ايران المسمومه قلب العراق شعب اعرف لماذا هداهم الله متمسكين باعداءهم الفرس العجم خناجرهم المسمومه المرجعيات الشيعيه يتزعمها اشخاص عراقيين الاصل قوه للاحتلال الاجنبي وسبب استمرار نكبه العراق
identity-based,الدبغ حاصل حاصل الهلال الفريق الوحيد العالم الي يندبغ بالخمسات والاربعات ويصنع نفسه بطل
identity-based,عشان تعرف انك مجرد مشجع احمق ولست اعلامي رحت تربط عالميه النصر بنظام اسيا القديم وكانك تعلم ان البطوله اللي حققها النصر دوري ابطال سوبر وكاس كءوس وهي بطولتين سبق حققها الهلال والشباب والقادسيه ولم يحقق دوري الابطال حينها سوا الهلال الاتحاد
racisme,المصخره احترام للقانون وافد بنقالي يرمي متعمد البالون علي الدوريه
racisme,صدق المعمم الايراني اللي وصف اهل اليمن الزيود بشيعه الشوارع وش دخل المنتخب السعودي ياجعربي
racisme,ضيعتو المشيتين امريكا متحترمكم وراح تسحكم وراها روسيا تتفل عليكم
racisme,الحبشي القاتي نكحوه الايرانيين نكح الشياطين
identity-based,يالربع والله انه فقراوي كثر جلد الهلال يختبيء باسم الاتحاد
racisme,هه دحباشي معتق مروح ومسجل حضرمي وحاط صوره سيده هه والله انكم مسخره
identity-based,اسال الله ان يعين اردوغان علي تحقيق ماربه السياسيه حزب التحرير الدواعش الجاميه ثيران الثلاثه
identity-based,كيفنا المباراه ارضنا فقراويه
identity-based,يشجع نادي وضيع ومعنف عمه البايرن ويهايط بحق غيره اخ يالوضاعه
identity-based,مشكلتكم ياحزب الشاي انتم مسويين محنكين سالتك وش مشروبك المفضل عشان تقول جاي احمر
racisme,حاولي تهدي ابوفسيه هندي لابس عقال انت جلبك البريطاني عساكرك حيدر اباد واستوطنت الجنوب انتهاء عهدك رحيل البريطاني تحشر حالك بيننا كعرب ويمنيين
racisme,المصاريه الي كانوا يلبسون السكارف بهالطريقه الرخيصه لتفصيل الجسم حتي الفستان كانوا يلبسونه ضيق نساء العرب كانوا يفصلون اجسامهم تشوهون موروثنا
racisme,الشعب البريطاني شعب منحرف يدعمون الشدوذ الان خلي يذوقون نتيجه دعمهم لهءلاء المنحرفين الان صايرين عندهم شرف
identity-based,الهلال العالمي وصيف كاس العالم دفن ابو بلاش المحلي صغير الرياض الترشيحي وغيبه البطوله الاسيويه كريستيانو يتحسر باللعب النادي المفلس صفر دوري اسيا وعدم المشاركه الهلال العالمي بطولاته العالميه والقاريه صدقت مقوله الاسطوره العالمي سامي الجابر
racisme,طيب النظام الملكي كانت عاءله ملكيه البانيه وحكموكم المماليك العبيد والعرب والاكراد وكثير شعوب العالم تحكموا انفسكم عام الميلاد الي
